title,title_link,price,bedrooms,address,area,viewing_time,Headline,property_overview,main_image,description,thumbnail_preview,Transp_header,transp_score,walk_score,transit_score,biking_score
1.5 Baths,https://www.redfin.com/UT/Salt-Lake-City/2010-Laurelhurst-Dr-E-84108/unit-2/home/113195553,"$265,000",2 Beds,"2010 S Laurelhurst Dr #2, Salt Lake City, UT 84108","1,385 Sq. Ft.",HOT HOME,2010 S Laurelhurst Dr #2,HOA Dues$200/monthProperty TypeCondoProperty StyleCondo; Main LevelCommunitySalt Lake City; Ft DouglasCountySalt LakeMLS#1574110Built1964Lot Size435 square feet,https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/110/genMid.1574110_1.jpg,"One Of A Kind * Huge Foothill Drive Area Condo With Unique Single Family Residential Setting And Large Yard * Two Patios Allow Natural Lighting And Walkout To Common Yard Area * Gas Fireplace Complements Huge Living Room * Master Bedroom Twice The Size Of Others For Sale At This Price * Water Heater 1 yr Old  * 95% Efficient Furnace * Great Privacy With Duplex Like Layout Of This 8 Unit Condominium Complex *  Rarely Available * Minutes From University, Downtown, Airport, Park City And Canyon Recreation *  * Great Value For Neighborhood  *  *",https://ssl.cdn-redfin.com/photo/ldpsprite/125/nsprite.99114125_1.jpg,Transportation in 84108,60 / 100Somewhat WalkableWalk Score®29 / 100Some TransitTransit Score®54 / 100BikeableBike Score®,60 / 100Somewhat WalkableWalk Score®,29 / 100Some TransitTransit Score®,54 / 100BikeableBike Score®
1 Baths,https://www.redfin.com/UT/Magna/3406-Marigold-St-W-84044/home/91717017,"$235,000",3 Beds,"3406 S Marigold St W, Magna, UT 84044",960 Sq. Ft.,HOT HOME,3406 S Marigold St W,"Property TypeSingle FamilyProperty StyleRambler/RanchCommunityMagna; Taylrsvl; Wvc; SlcCountySalt LakeMLS#1574093Built1954Lot Size9,583 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/093/genMid.1574093_0.jpg,"Large corner lot. Home updated 2 years ago with new roof, windows, plumbing and electrical, tile flooring, kitchen and bathroom. Cement drive to enclosed 60' x 12' RV pad with hookups and privacy fence. Home has been rented since the update. Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",https://ssl.cdn-redfin.com/photo/ldpsprite/359/nsprite.99111359_0.jpg,Transportation in 84044,37 / 100Car-DependentWalk Score®34 / 100Some TransitTransit Score®41 / 100Somewhat BikeableBike Score®,37 / 100Car-DependentWalk Score®,34 / 100Some TransitTransit Score®,41 / 100Somewhat BikeableBike Score®
1.5 Baths,https://www.redfin.com/UT/West-Valley-City/3991-Hialeah-Rd-84119/home/86409473,"$269,900",4 Beds,"3991 S Hialeah Rd, Salt Lake City, UT 84119","1,728 Sq. Ft.",HOT HOME,3991 S Hialeah Rd,"Property TypeSingle FamilyProperty StyleTri/Multi-LevelCommunityMagna; Taylrsvl; Wvc; SlcCountySalt LakeMLS#1574048Built1968Lot Size8,276 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/048/genMid.1574048_0.jpg,"Wonderfully Spacious  &  Open Floorplan | Large Open Island Kitchen w/ Granite Countertops | Loads of Cabinets | Brand New Carpet  &  Paint in Upstairs Bedrooms | Tile Flooring in Kitchen  &  Bathroom | Large Bright Living Room | Nice Size Bedrooms | Central A/C | Energy Efficient Windows | Newer Water Heater | Full Sprinkler System | Spacious Backyard with Mature Landscaping | Extra Wide 2-Car Garage PLUS Covered Carport | Super Home w/ Easy Access to Freeways, Schools, Shopping, Parks, Golf Course  &  Downtown SLC",https://ssl.cdn-redfin.com/photo/ldpsprite/624/nsprite.99105624_0.jpg,Transportation in 84125,19 / 100Car-DependentWalk Score®41 / 100Some TransitTransit Score®39 / 100Somewhat BikeableBike Score®,19 / 100Car-DependentWalk Score®,41 / 100Some TransitTransit Score®,39 / 100Somewhat BikeableBike Score®
2 Baths,https://www.redfin.com/UT/Salt-Lake-City/254-E-1700-S-84115/home/91747511,"$345,000",3 Beds,"254 E 1700 S, Salt Lake City, UT 84115","1,757 Sq. Ft.",HOT HOME,254 E 1700 S,"Property TypeSingle FamilyProperty StyleRambler/RanchCommunitySalt Lake City; So. Salt LakeCountySalt LakeMLS#1574046Built1919Lot Size5,662 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/046/genMid.1574046_0.jpg,,https://ssl.cdn-redfin.com/photo/ldpsprite/137/nsprite.99105137_0.jpg,Transportation in 84115,70 / 100Very WalkableWalk Score®45 / 100Some TransitTransit Score®89 / 100Very BikeableBike Score®,70 / 100Very WalkableWalk Score®,45 / 100Some TransitTransit Score®,89 / 100Very BikeableBike Score®
1.75 Baths,https://www.redfin.com/UT/Salt-Lake-City/5536-S-3465-W-84129/home/86449414,"$295,000",4 Beds,"5536 S 3465 W, Taylorsville, UT 84129","1,604 Sq. Ft.",HOT HOME,5536 S 3465 W,"Property TypeSingle FamilyProperty StyleSplit-Entry/Bi-LevelCommunityMagna; Taylrsvl; Wvc; SlcCountySalt LakeMLS#1574036Built1982Lot Size6,098 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/036/genMid.1574036_0.jpg,"Awesome remodeled home in a great neighborhood! White shaker cabinets, quartz countertops  &  stainless steel appliances in the kitchen. French doors open to a covered back patio. All new windows, flooring, custom tile  &  modern fixtures throughout. New furnace and central A/C. Corner lot with a lot of yard to work with, tons of RV parking  &  a workshop. Oversized 2 car garage with brand new door. Call now for a private showing!",https://ssl.cdn-redfin.com/photo/ldpsprite/513/nsprite.99103513_0.jpg,Transportation in 84129,30 / 100Car-DependentWalk Score®36 / 100Some TransitTransit Score®42 / 100Somewhat BikeableBike Score®,30 / 100Car-DependentWalk Score®,36 / 100Some TransitTransit Score®,42 / 100Somewhat BikeableBike Score®
1.5 Baths,https://www.redfin.com/UT/West-Valley-City/6319-Contadora-Dr-84128/home/91721692,"$254,900",4 Beds,"6319 W Contadora Dr, West Valley City, UT 84128","2,068 Sq. Ft.",HOT HOME,6319 W Contadora Dr,"Property TypeSingle FamilyProperty StyleTri/Multi-LevelCommunityMagna; Taylrsvl; Wvc; SlcCountySalt LakeMLS#1573986Built1987Lot Size8,712 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/986/genMid.1573986_0.jpg,"Welcome to this attractive 4 bedroom, 2 bathroom home in the desirable community of West Valley City. Well-taken care of home. Nice neutral home with plenty of room to grow!  This house has so many upgrades it will be hard to list them all include granite countertops, RV parking and not to mention, the massive backyard has plenty of room to play. Highly desirable. Buyer is advised to obtain an independent measurement. This won't last long!  Welcome home! JOIN US AT OUR OPEN HOUSE ON JANUARY 5, 2019 between 12PM to 2PM. Buyer to verify all info and MLS data. .. Information is not guaranteed.",https://ssl.cdn-redfin.com/photo/ldpsprite/787/nsprite.99095787_0.jpg,Transportation in 84128,26 / 100Car-DependentWalk Score®18 / 100Minimal TransitTransit Score®38 / 100Somewhat BikeableBike Score®,26 / 100Car-DependentWalk Score®,18 / 100Minimal TransitTransit Score®,38 / 100Somewhat BikeableBike Score®
2 Baths,https://www.redfin.com/UT/West-Valley-City/4120-S-6180-W-84128/home/86438761,"$269,900",4 Beds,"4120 S 6180 W, West Valley City, UT 84128","2,048 Sq. Ft.",HOT HOME,4120 S 6180 W,"Property TypeSingle FamilyProperty StyleSplit-Entry/Bi-LevelCommunityMagna; Taylrsvl; Wvc; SlcCountySalt LakeMLS#1573893Built1983Lot Size7,840 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/893/genMid.1573893_0.jpg,"Spectacular remodel in sought-after West Valley neighborhood! Move-in ready with open floor plan and lots of natural light. High ceilings, beautifully renovated kitchen with many high end finishes: stainless steel appliances, granite countertops, new cabinets, beautiful new flooring and fresh two-tone paint throughout. This one will go fast! Vacant and easy to show! Square footage as per professional measure.",https://ssl.cdn-redfin.com/photo/ldpsprite/781/nsprite.99090781_0.jpg,Transportation in 84128,19 / 100Car-DependentWalk Score®27 / 100Some TransitTransit Score®34 / 100Somewhat BikeableBike Score®,19 / 100Car-DependentWalk Score®,27 / 100Some TransitTransit Score®,34 / 100Somewhat BikeableBike Score®
2.5 Baths,https://www.redfin.com/UT/South-Salt-Lake/2629-S-200-E-84115/home/147710782,"$319,900",5 Beds,"2629 S 200 E, Salt Lake City, UT 84115","1,916 Sq. Ft.",HOT HOME,2629 S 200 E,"Property TypeSingle FamilyProperty StyleRambler/RanchCommunitySalt Lake City; So. Salt LakeCountySalt LakeMLS#1573819Built1951Lot Size4,356 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/819/genMid.1573819_1.jpg,"This is a MUST SEE! Newly refinished interior which includes new three tone paint, upgraded kitchen which includes granite counter tops, newer kitchen cabinetry with stainless steel range and microwave, new carpeting, new windows and light fixtures, new plumbing, driveway and sprinkler system and much more! The detached garage is extra deep with a work shop and storage.",https://ssl.cdn-redfin.com/photo/ldpsprite/121/nsprite.99084121_2.jpg,Transportation in 84115,72 / 100Very WalkableWalk Score®44 / 100Some TransitTransit Score®73 / 100Very BikeableBike Score®,72 / 100Very WalkableWalk Score®,44 / 100Some TransitTransit Score®,73 / 100Very BikeableBike Score®
1 Baths,https://www.redfin.com/UT/Salt-Lake-City/1317-S-Montgomery-St-84104/home/91724978,"$224,900",2 Beds,"1317 S Montgomery St W, Salt Lake City, UT 84104",800 Sq. Ft.,HOT HOME,1317 S Montgomery St W,"Property TypeSingle FamilyProperty StyleRambler/RanchCommunitySalt Lake City; Rose ParkCountySalt LakeMLS#1573771Built1952Lot Size9,583 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/771/genMid.1573771_1.jpg,,https://ssl.cdn-redfin.com/photo/ldpsprite/440/nsprite.99077440_1.jpg,Transportation in 84104,60 / 100Somewhat WalkableWalk Score®36 / 100Some TransitTransit Score®69 / 100BikeableBike Score®,60 / 100Somewhat WalkableWalk Score®,36 / 100Some TransitTransit Score®,69 / 100BikeableBike Score®
2.5 Baths,https://www.redfin.com/UT/Draper/362-Braidhill-Dr-84020/home/91863641,"$254,900",2 Beds,"362 E Braidhill Dr, Draper, UT 84020","1,560 Sq. Ft.",HOT HOME,362 E Braidhill Dr,"HOA Dues$92/monthProperty TypeTownhouseProperty StyleTownhouse (End of Row)CommunitySandy; Draper; Granite; Wht CtyCountySalt LakeMLS#1573760Built2002Lot Size2,178 square feet",https://ssl.cdn-redfin.com/photo/171/mbpaddedwide/760/genMid.1573760_0.jpg,,https://ssl.cdn-redfin.com/photo/ldpsprite/639/nsprite.99076639_0.jpg,Transportation in 84020,15 / 100Car-DependentWalk Score®15 / 100Minimal TransitTransit Score®21 / 100Somewhat BikeableBike Score®,15 / 100Car-DependentWalk Score®,15 / 100Minimal TransitTransit Score®,21 / 100Somewhat BikeableBike Score®
